CH	trans factor	units	range	descrizione
78	25	mm/V	25mm	P9 Pot 25 pipe POS 1 0 Z
79	25	mm/V	25mm	P10 Pot 25 pipe POS 1 120 Z
80	25	mm/V	25mm	P11 Pot 25 pipe POS 1 240 Z
81	25	mm/V	25mm	P12 Pot 25 pipe POS 5 0 Z
82	25	mm/V	25mm	P13 Pot 25 pipe POS 5 120 Z
83	25	mm/V	25mm	P14 Pot 25 pipe POS 5 240 Z
84	25	mm/V	25mm	P15 Pot 25 pipe POS 4 0 Y
85	25	mm/V	25mm	P16 Pot 25 pipe POS 4 120 Y
86	25	mm/V	25mm	P17 Pot 25 pipe POS 4 240 Y
87	25	mm/V	25mm	P18 Pot 25 pipe POS 6 0 Y
88	25	mm/V	25mm	P19 Pot 25 pipe POS 6 120 Y
89	25	mm/V	25mm	P20 Pot 25 pipe POS 6 240 Y
90	367.5	unit/V	0	ReadOut Forza
91	0.06	unit/V	0	ReadOut Spostamento
92	7.845	unit/V	0	ReadOut Accelerazione
93	5	bar/V	40bar	PRESS1 pipe POS 1
94	5	bar/V	40bar	PRESS2 pipe POS 5
95	5	bar/V	40bar	PRESS3 pipe POS 4
96	5	bar/V	40bar	PRESS4 pipe POS 6
97	1	Alim.	0	ALIM3-Pot.ch 89
98  1   mm/V    0   canale vuoto per pot.
99	120	ohm	120ohm	SG1 col.NE right Z
100	120	ohm	120ohm	SG2 col.NE left Z
101	120	ohm	120ohm	SG3 col.NW right Z
102	120	ohm	120ohm	SG4 col.NW left Z
103	120	ohm	120ohm	SG5 col.SE right Z
104	120	ohm	120ohm	SG6 col.SE left Z
105	120	ohm	120ohm	SG7 col.SW right Z
106	120	ohm	120ohm	SG8 col.SW left Z
107	120	ohm	120ohm	SG9 uplift bar N7 Z
108	120	ohm	120ohm	SG10 uplift bar S7 Z
109	120	ohm	120ohm	SG11 uplift bar N1 Z
110	120	ohm	120ohm	SG12 uplift bar S1 Z
111	120	ohm	120ohm	SG13 pipe POS 1 0 Z
112	120	ohm	120ohm	SG14 pipe POS 1 120 Z
113	120	ohm	120ohm	SG15 pipe POS 1 240 Z
114	120	ohm	120ohm	SG16 pipe POS 5 0 Z
115	120	ohm	120ohm	SG17 pipe POS 5 120 Z
116	120	ohm	120ohm	SG18 pipe POS 5 240 Z
117	120	ohm	120ohm	SG19 pipe POS 4 0 Y
118	120	ohm	120ohm	SG20 pipe POS 4 120 Y
119	120	ohm	120ohm	SG21 pipe POS 4 240 Y
120	120	ohm	120ohm	SG22 pipe POS 6 0 Y
121	120	ohm	120ohm	SG23 pipe POS 6 120 Y
122	120	ohm	120ohm	SG24 pipe POS 6 240 Y
